groupid;id;Anzahl_Vorhanden
;0423fc67bff01f29ed7883d007273abcbdc915c9;4.0
;042480b60e69b52f8d8476aea610f32569f577dc;23.0
;0426c9f90fc70c81726765f395ae905cf1fd0c05;9.0
;04300957e94ad90371c5e8c07a26f18dddb1e278;18.0
;04323dde2a5dbb21c24093b7d02ce132509af707;15.0
;04334c3c338467a3b147e5a1721ccba863cf6add;16.0
;043615e5a698c3e8ebc1641a6cf00057c49d5e5e;1.0
;043758c7a8b0eb28fe91950a3051513c91a21961;5.0
;0440c3b17932798bfcd61e495234e9a6064fd217;10.0
;0441d88826690995c6a7f728d82822024c4e1485;1.0
;044261d696ee3efcd9865e415507d70db3fd7fd7;1.0
;044bd511c01f364c5abbd4f43a1afa522604d014;1.0
;044f925bf961fe2c1ccb14161e227f4f29b6a2bc;1.0
;04522b1668d1ace6bdf6aecf625db9953eb02286;4.0
;0453ed451a97408ce0e720ecf0e33d6a9f7888c8;1.0
;045e1f85f8d7483c4c947b1eec1d25b2a734620e;22.0
;045f6c9bf891b689cc814f86326fd55be5236bca;1.0
;045fe593cbcb4a4a835286307a01977ef2fa9197;1.0
;04654e0ee303c37b0fbf83fc645ef1e7683b6cd0;4.0
;0466f8e5654b94c9a6bad0e91faa37d355230806;1.0
;046a53981fe239c3b85b070dc010ad9373f6a306;1.0
;046b5e1ada1486fb33eb1cba06c9a90829e102d6;5.0
;046c23427f4339c6626706a7fcb5915d22a255b9;26.0
;046efc1bd858364e893162ab55ed44e90140d6f8;1.0
;047082284cad15a3aeb5f646e0010deb5b7591d1;23.0
;0470c6d6574d7b0a8ccbbb2147263f13f4676239;4.0
;047b0d7b88beb08f18e0f6cb5189bfd8dbff301e;1.0
;047e8527c3ea4adeb3d7953985f5343edbef459a;8.0
;0483dab3400a288a2cb93a3b98addf485615e1f9;1.0
;0487bf630592601a96a739f948847735cfd2cc00;1.0
;048eb268313d3cb28a607dc261e8d587803b81c9;1.0
;048f4074590293740f1957076533ea3bdde22478;2.0
;0491bd0d7d6571d7d4da9a129f190705eab951ca;3.0
;049388ed707cb6f8b9d141703c4a9e3d112ab861;1.0
;0496a098c99e173995992ff4d9f89518ef0d6291;2.0
;049823aade5d6e216c377ec01ca2c27e75e7b3ac;1.0
;049a3dd826608ddb7ad08ef53325856d5ef7d9fb;1.0
;049ffe405de1cbad41900e772c27ec1b846a7618;2.0
;04a02c8cfe6d6cd33983ce3d106b0198a2c0d37e;1.0
;04a036e538f261d348df77f0a77ab20182cf91a4;17.0
;04a1c27259721ef51d877d64aae7e50f9c67839c;3.0
;04a24ce7f8f4e0344ae6ee97810cc4e0ab8b6201;1.0
;04a75b6dd6dfb9206c0135f00f6a2982b4c135e9;1.0
;04aa73cdb266a77e86819b9ce06f25cd042d7faf;2.0
